[2021-10-30 16:50:20] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:50:20] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[738195200]
[2021-10-30 16:50:20] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[729802496]
[2021-10-30 16:51:17] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:51:19] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:51:19] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1962944768]
[2021-10-30 16:51:19] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1971337472]
[2021-10-30 16:52:23] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:52:25] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:52:25] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[84895488]
[2021-10-30 16:52:25] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[76502784]
[2021-10-30 16:53:15] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:53:16] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:53:16] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1384105728]
[2021-10-30 16:53:16] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1375713024]
[2021-10-30 16:53:28] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:53:29] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:53:29] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1006630656]
[2021-10-30 16:53:29] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[998237952]
[2021-10-30 16:54:16] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:54:17] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:54:17] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[327149312]
[2021-10-30 16:54:17] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[318756608]
[2021-10-30 16:57:33] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:57:34] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:57:34] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1782560512]
[2021-10-30 16:57:34] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1774167808]
[2021-10-30 16:57:38] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:57:38] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:57:38] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[469759744]
[2021-10-30 16:57:38] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[461367040]
[2021-10-30 16:57:46] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:57:46] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:57:46] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1719650048]
[2021-10-30 16:57:46] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1711257344]
[2021-10-30 17:02:03] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 17:02:04] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 17:02:04] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[751785728]
[2021-10-30 17:02:04] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[469759744]
[2021-10-30 17:06:21] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 17:06:22] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 17:06:22] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1669326592]
[2021-10-30 17:06:22] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1660933888]
[2021-10-30 17:13:00] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 17:13:02] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 17:13:02] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-805308672]
[2021-10-30 17:13:02] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-813701376]
[2021-10-30 17:16:12] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 17:16:13] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 17:16:13] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2117101824]
[2021-10-30 17:16:13] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2125494528]
[2021-10-30 17:16:23] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 17:16:25] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 17:16:25] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[394258176]
[2021-10-30 17:16:25] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[385865472]
[2021-10-30 17:21:08] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 17:21:09] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 17:21:09] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1862260480]
[2021-10-30 17:21:09] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1853867776]
